id	Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI_Percent	Meta_Estopa_Azul_Tejeduria	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido	created_at	updated_at
1		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	31		
2		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	30		
3		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	29		
4		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	28		
5		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	27		
6		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	26		
7		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	25		
8		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	24		
9		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	23		
10		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	22		
11		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	21		
12		20000	88	1	1.8	12000	1.6	2	88	0.3	0	40	-1.5	0	20		
13		20000	88	1	1.8	12000	1.6	2	88	0.3	0	40	-1.5	0	19		
14		20000	88	1	1.8	12000	1.6	2	88	0.3	20000	40	-1.5	0	18		
15		20000	88	1	1.8	12000	1.6	2	88	0.3	20000	40	-1.5	16662	17		
16		20000	88	1	1.8	12000	1.6	2	88	0.3	20000	40	-1.5	16667	16		
17		20000	88	1	1.8	12000	1.6	2	88	0.3	20000	40	-1.5	16667	15		
18		0	88	1	1.8	0	1.6	2	88	0.3	0	40	-1.5	0	14		
19		43652	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	13		
20		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	12		
21		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	11		
22		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	10		
23		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	9		
24		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	8		
25		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	0	7		
26		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	6		
27		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	5		
28		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	4		
29		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	3		
30		43654	88	1	1.8	36769	1.6	2	88	0.3	36154	40	-1.5	41667	2		
31		43654	88	1	1.8	36772	1.6	2	88	0.3	36152	40	-1.5	41667	1		
32		47500	88	1	1.8	38000	1.6	2	88	0.3	41205	40	-1.5	43486	17		
33		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	0	42	-1.5	0	31		
34		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	13195	42	-1.5	6050	30		
35		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	29		
36		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	28		
37		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	27		
38		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	0	26		
39		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	25		
40		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	24		
41		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	23		
42		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	22		
43		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	21		
44		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	20		
45		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	0	19		
46		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	18		
47		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	17		
48		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	16		
49		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	15		
50		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	14		
51		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	13		
52		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	0	12		
53		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	11		
54		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	10		
55		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	9		
56		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	8		
57		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	7		
58		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	0	6		
59		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	4		
60		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	3		
61		47500	88	1	1.8	38000	1.6	2	88	0.3	41205	40	-1.5	0	16		
62		47500	88	1	1.8	38000	1.6	2	88	0.3	41205	40	-1.5	43486	15		
63		46774.19	88	1	1.8	37419.35	1.6	2	85	0.3	39545	42	-1.5	46158	3		
